time,temperature,pressure0,dp,airhumidity,winddir,windspd10,weathercnd,Td,mm precip12,ur/h,usv/h
23.10.2018 12:00:00,18.2,762.9,-0.9,60,SW,3,Clear,10.2,0,106.24,0.53
23.10.2018 15:00:00,18.1,762.1,-0.7,59,W,1,Clear,9.9,0,105,0.53
23.10.2018 18:00:00,16.0,761.8,-0.5,66,No wind,0,Haze,9.5,0,107.92,0.54
23.10.2018 21:00:00,13.9,761.5,-0.6,77,SSE,1,Haze,9.9,0,111.06,0.57
24.10.2018 00:00:00,12.2,760.4,-1.2,79,E,1,Haze,8.7,0,115.41,0.57
24.10.2018 03:00:00,12.4,758.2,-2.1,78,E,3,Clear,8.6,0,112.43,0.55
24.10.2018 06:00:00,10.7,758.5,0.1,85,SW,1,Haze,8.2,0,108.97,0.55
24.10.2018 09:00:00,13.3,756.8,-1.3,73,NEE,2,Haze,8.6,0,112.11,0.56
24.10.2018 12:00:00,18.5,753.1,-3.2,51,E,6,Clear,8.2,0,109,0.55
24.10.2018 15:00:00,18.4,750.4,-2.6,55,E,5,Clear,9.1,0,112.21,0.56
24.10.2018 18:00:00,14.5,750.1,-0.6,71,NEE,2,Clear,9.2,0,111.95,0.58
24.10.2018 21:00:00,11.3,750.1,-0.3,82,No wind,0,Haze,8.3,0,113.47,0.56
25.10.2018 00:00:00,11.1,748.9,-1.1,81,No wind,0,Haze,7.9,0,115.41,0.58
25.10.2018 03:00:00,9.9,747.1,-1.9,86,NE,1,Haze,7.7,0,116.87,0.57
25.10.2018 06:00:00,10.7,746.6,-0.5,86,W,1,Haze,8.4,0,111.7,0.55
25.10.2018 09:00:00,12.8,746.5,0.2,80,E,1,Haze,9.4,0,109.63,0.57
25.10.2018 12:00:00,15.6,747.6,1.3,70,NWW,2,Clear,10.1,0,109.92,0.54
25.10.2018 15:00:00,15.5,747.6,0,63,W,2,Clear,8.5,0,111.54,0.56
25.10.2018 18:00:00,11.5,750.4,2.3,77,W,3,Clear,7.6,0,113.92,0.56
25.10.2018 21:00:00,7.5,753.2,2.3,87,SWW,5,Rain,5.5,0,107.22,0.53
26.10.2018 00:00:00,6.7,754.4,1.1,82,SWW,3,Rain,3.8,0,105.06,0.53
26.10.2018 03:00:00,6.3,755.6,1.1,81,SWW,3,Rain,3.3,0,107.95,0.54
26.10.2018 06:00:00,6.8,756.4,0.8,71,SW,5,Clear,1.8,3,105.76,0.51
26.10.2018 09:00:00,7.9,758.7,2.3,69,W,1,Clear,2.6,3,102.43,0.52
26.10.2018 12:00:00,12.2,758.5,0.3,45,SWW,4,Clear,0.5,3,102.14,0.51
26.10.2018 15:00:00,11.4,759.2,0.5,52,W,2,Clear,1.7,3,106.48,0.53
26.10.2018 18:00:00,7.3,760.3,0.7,69,S,1,Clear,2,0,104.14,0.53
26.10.2018 21:00:00,5.7,760.8,0.3,74,E,2,Clear,1.4,0,104.46,0.51
27.10.2018 00:00:00,7.7,763,2.3,69,SW,3,Clear,2.3,0,100.97,0.5
27.10.2018 03:00:00,7.7,764.7,1.6,68,SWW,5,Clear,2,0,100.59,0.52
27.10.2018 06:00:00,6.7,766.7,1.8,70,SWW,4,Clear,1.5,0,108.11,0.55
27.10.2018 09:00:00,9.5,768.9,2.4,62,SWW,5,Clear,2.6,0,109.03,0.54
27.10.2018 12:00:00,13.8,769.3,0.9,43,W,3,Clear,1.2,0,107.86,0.55
27.10.2018 15:00:00,15.0,769.4,0.2,36,W,1,Clear,-0.1,0,112.62,0.56
27.10.2018 18:00:00,11.9,770.8,1.1,46,No wind,0,Clear,0.5,0,112.27,0.56
27.10.2018 21:00:00,6.3,771.9,0.4,70,No wind,0,Clear,1.1,0,110.91,0.55
28.10.2018 00:00:00,2.1,773,0.7,85,No wind,0,Clear,-0.2,0,109.76,0.54
28.10.2018 03:00:00,0.5,773.3,0.1,90,SWW,1,Haze,-1,0,106.14,0.53
28.10.2018 06:00:00,-0.8,773.5,0.1,92,SWW,1,Clear,-2,0,105.22,0.53
28.10.2018 09:00:00,7.4,772.9,0.2,67,No wind,0,Clear,1.7,0,108.3,0.54
28.10.2018 12:00:00,17.3,771,-0.9,29,E,4,Clear,-1.1,0,104.27,0.52
28.10.2018 15:00:00,19.0,770.5,-0.3,25,SEE,2,Clear,-1.3,0,100.24,0.49
28.10.2018 18:00:00,13.1,771.5,0.5,40,NEE,2,Clear,-0.3,0,97.25,0.5
28.10.2018 21:00:00,9.1,772.1,0.1,53,E,2,Clear,-0.1,0,101.22,0.51
29.10.2018 00:00:00,3.0,773.1,0.3,77,No wind,0,Clear,-0.6,0,104.17,0.53
29.10.2018 03:00:00,1.0,772.9,-0.3,85,No wind,0,Haze,-1.3,0,109.29,0.55
29.10.2018 06:00:00,0.5,772.9,-0.1,87,No wind,0,Clear,-1.5,0,111.73,0.56
29.10.2018 09:00:00,8.4,772.3,0.3,59,No wind,0,Clear,0.7,0,113.7,0.58
29.10.2018 12:00:00,22.9,769.3,-1.5,22,NE,2,Clear,-0.2,0,112.84,0.56
29.10.2018 15:00:00,23.5,768.7,-0.6,19,NE,3,Clear,-1.2,0,112.81,0.55
29.10.2018 18:00:00,15.9,770.1,0.6,33,NEE,1,Clear,-0.6,0,110.53,0.56
29.10.2018 21:00:00,12.3,770.7,0.3,43,NEE,2,Clear,0.1,0,111.16,0.55
30.10.2018 00:00:00,8.6,771,-0.1,56,NEE,2,Clear,0.3,0,117.67,0.59
30.10.2018 03:00:00,2.0,771.4,-0.3,80,No wind,0,Haze,-1.1,0,115.92,0.59
30.10.2018 06:00:00,0.5,772,0.4,86,No wind,0,Clear,-1.6,0,117.38,0.58
30.10.2018 09:00:00,7.8,771.3,0.1,60,No wind,0,Clear,0.5,0,117.54,0.58
30.10.2018 12:00:00,20.2,769.3,-0.7,29,NEE,4,Clear,1.6,0,112.59,0.55
30.10.2018 15:00:00,20.4,769,-0.3,30,NEE,4,Clear,2,0,102.97,0.49
30.10.2018 18:00:00,14.2,770.4,0.8,58,NE,3,Clear,5.9,0,95.98,0.48
30.10.2018 21:00:00,9.5,772.3,1.4,86,NEE,3,Haze,7.3,0,94.56,0.48
31.10.2018 00:00:00,8.6,772.3,-0.1,93,E,3,Haze,7.5,0,94.9,0.47
31.10.2018 03:00:00,10.7,772.6,0.5,76,E,5,Haze,6.6,0,97.92,0.5
31.10.2018 06:00:00,10.8,773.2,0.6,79,E,4,Haze,7.2,0,100.33,0.51
31.10.2018 09:00:00,11.5,774,0.7,75,E,4,Clear,7.2,0,101.95,0.5
31.10.2018 12:00:00,13.4,774,0.3,70,NEE,5,Clear,7.9,0,101.6,0.52
31.10.2018 15:00:00,9.1,775.3,0.8,94,NEE,6,Drizzle,8.1,0,106.14,0.54
31.10.2018 18:00:00,7.9,776.4,0.9,94,NEE,5,Haze,7,0,109.29,0.55
31.10.2018 21:00:00,8.4,776.5,0.3,94,NEE,5,Drizzle,7.5,0,113.22,0.57
01.11.2018 00:00:00,7.1,776.9,0.1,94,E,5,Drizzle,6.2,0,114.94,0.58
01.11.2018 03:00:00,6.8,777,0.1,95,E,6,Haze,6,0,112.62,0.57
01.11.2018 06:00:00,6.6,777.6,0.5,95,E,4,Drizzle,5.8,0.6,112.97,0.55
01.11.2018 09:00:00,7.0,778.6,1,93,NEE,5,Drizzle,5.9,0.6,112.2,0.57
01.11.2018 12:00:00,7.4,778.6,0.2,92,NEE,6,Haze,6.1,0.6,114.68,0.57
01.11.2018 15:00:00,8.7,778.2,-0.3,84,E,6,Haze,6.2,0.6,116.27,0.58
01.11.2018 18:00:00,9.0,778.2,0,82,NEE,6,Clear,6.1,0.3,115.03,0.56
01.11.2018 21:00:00,8.4,778.4,0.1,81,NEE,6,Clear,5.3,0.3,114.67,0.58
02.11.2018 00:00:00,7.3,778.5,0,86,E,7,Clear,5.1,0.3,119.44,0.59
02.11.2018 03:00:00,7.7,777.8,-0.6,85,E,6,Clear,5.3,0.3,112.87,0.56
02.11.2018 06:00:00,7.6,777.3,-0.5,90,NEE,5,Clear,6,0,114.49,0.57
02.11.2018 09:00:00,7.9,777.7,0.4,76,NEE,4,Clear,3.9,0,116.11,0.57
02.11.2018 12:00:00,9.5,777.4,-0.1,74,NEE,6,Clear,5,0,114.59,0.58
02.11.2018 15:00:00,11.2,776.4,-0.8,67,E,5,Clear,5.3,0,118.69,0.58
02.11.2018 18:00:00,10.3,776.5,0,71,E,3,Clear,5.3,0,114.3,0.58
02.11.2018 21:00:00,9.9,776.4,-0.1,71,NEE,5,Clear,4.8,0,115.76,0.58
03.11.2018 00:00:00,8.7,776.3,-0.2,72,NEE,4,Clear,3.8,0,116.08,0.58
03.11.2018 03:00:00,7.6,775.9,-0.6,76,NEE,2,Clear,3.5,0,113.6,0.54
03.11.2018 06:00:00,6.1,775.9,-0.1,82,NE,2,Haze,3.3,0,103.73,0.52
03.11.2018 09:00:00,6.3,775.8,0.3,80,NE,3,Clear,3.1,0,99.86,0.49
03.11.2018 12:00:00,10.4,775.3,-0.5,65,SEE,2,Clear,4.1,0,98.24,0.48
03.11.2018 15:00:00,11.3,774.4,-0.7,64,SEE,2,Clear,4.7,0,96.4,0.48
03.11.2018 18:00:00,8.4,774.4,-0.3,75,E,1,Clear,4.1,0,97.8,0.5
03.11.2018 21:00:00,3.9,774.4,-0.5,93,E,2,Clear,2.8,0,95.19,0.47
04.11.2018 00:00:00,0.8,774.6,-47.4,92,NNE,1,Haze,-0.3,0,93.98,0.48
04.11.2018 03:00:00,-1.0,774.1,46.5,96,No wind,0,Haze,-1.6,0,94.36,0.46
04.11.2018 06:00:00,0.3,773.3,-0.6,96,W,1,Fog,-0.2,0,93.1,0.47
